"NCIt_code","synonyms_lower"
"C100046","evaux spring water-based topical spray"
"C100046","evozac"
"C100046","spring water/polysorbate 20/phenoxyethanol/zinc gluconate/caprylyl glycol/chlorphenesin topical spray"
"C100088","interferon gamma-1a"
"C100088","imunomax"
"C100088","recombinant interferon gamma-1a"
"C100089","interferon gamma-1b"
"C100089","actimmune"
"C100089","ifn-g-1b"
"C100089","ifn-gamma 1b"
"C100089","ifng-1b"
"C100089","interferon gamma-1b, recombinant"
"C100089","n(sup 2)-l-methionyl-1-139-interferon g"
"C100089","n(sup 2)-l-methionyl-1-139-interferon gamma (human lymphocyte protein moiety reduced)"
"C100089","recombinant interferon gamma-1b"
"C100089","gamma interferon 1b"
"C100098","ademetionine"
"C100098","(+-)-5'-((r*)-((r*)-3-amino-3-carboxypropyl)methylsulfonio)-5'-deoxyadenosine hydroxide, inner salt"
"C100098","methionine, s-adenosyl-, dl-"
"C100098","s-adenosyl-dl-methionine"
"C100099","synthetic breast cancer peptides-tetanus toxoid-poly iclc vaccine"
"C1000","recombinant amphiregulin"
"C1000","amphiregulin"
"C1000","ar"
"C1000","crdgf"
"C1000","kaf"
"C100100","hpv e1/e2 interaction inhibitor gel ap611074"
"C100100","ap611074"
"C100100","ppi inhibitor ap611074"
"C100100","protein/protein interaction inhibitor ap611074"
"C100101","naratuximab emtansine"
"C100101","imgn529"
"C100101","mp 529"
"C100101","mp-529"
"C100101","mp529"
"C100102","adenovirus/cytomegalovirus/epstein-barr virus-specific allogeneic cytotoxic t lymphocytes"
"C1001","rintatolimod"
"C1001","ampligen"
"C1001","atvogen"
"C1001","poly(i).poly(c12,u)"
"C1001","poly(inosinic acid) poly(cytidylic(12), uridylic)acid"
"C1002","recombinant angiogenin"
"C1004","antineoplaston a10"
"C1004","3-phenylacetylamino-2, 6-piperidinedione"
"C1004","3-phenylacetylamino-2,6-piperidinedione"
"C1004","a10"
"C1004","atengenal"
"C1004","benzeneacetamide, n-(2,6-dioxo-3-piperidinyl)-, (s)-"
"C1005","arsenic trioxide"
"C1005","ato"
"C1005","arsenic (iii) oxide"
"C1005","arsenic sesquioxide"
"C1005","arsenous acid"
"C1005","arsenous acid anhydride"
"C1005","arsenous oxide"
"C1005","trisenox"
"C1005","white arsenic"
"C1006","ammonium trichlorotellurate"
"C1006","as-101"
"C1006","ivx-q-101"
"C1006","ossirene"
"C1006","tellurate(1-), trichloro[1,2-ethanediolato(2-)-kappa-o,kappa-o']-,ammonium, (sp-5-22)-"
"C1007","azapicyl"
"C1007","1-acetyl-2-picolinoylhydrazine"
"C1007","2-acetylhydrazide-2-pyridinecarboxylic acid"
"C1007","p-2292"
"C1008","azaribine"
"C1008","1,2,4-triazine-3,5(2h,4h)-dione, 2-beta-d-ribofuranosyl-"
"C1008","2',3',4'-azauridine triacetate"
"C1008","2-(2,3,5-tri-o-acetyl-beta-d-ribofuranosyl)-as-triazine-3,5(2h,4h)-dione"
"C1008","6-azauridine triacetate"
"C1008","azauridine triacetate"
"C1008","cb 304"
"C1008","ski 28426"
"C1008","triacetyl 6-azauridine"
"C1008","triacetyl 6-azuridine"
"C1008","triacetyl-6-azuridine"
"C1008","triazure"
"C1009","ethyleneimine"
"C1009","aziridine"
"C1009","aminoethylene"
"C1009","azacyclopropane"
"C1009","azirane"
"C1009","dimethyleneimine"
"C1009","dimethylenimine"
"C1009","ethylenimine"
"C1009","ethylimine"
"C101094","trivalent live-attenuated influenza vaccine"
"C101094","flumist"
"C101094","fluenz"
"C101094","trivalent intranasal influenza vaccine, live"
"C1010","nafazatrom"
"C1010","1-(2-(beta-naphthyloxy)ethyl)-3-methyl-2-pyrazolin-5-one"
"C1010","3h-pyrazol-3-one,2,4-dihydro-5-methyl-2-(2-(2-naphthalenyloxy)ethyl)"
"C1010","bay g 6575"
"C1010","bay-g 6575"
"C101130","guarana supplement"
"C101130","paullinia cupana supplement"
"C101131","elsiglutide"
"C101131","zp1846"
"C101132","mtor1/2 kinase inhibitor me-344"
"C101132","me-344"
"C101147","cd57 antigen"
"C101147","cd57"
"C101147","hnk-1"
"C101147","hnk1"
"C101147","human natural killer-1 antigen"
"C101147","l2/hnk-1"
"C101147","leu7"
"C1011","beauvericin"
"C101227","zelavespib"
"C101227","9h-purine-9-propanamine, 6-amino-8-((6-iodo-1,3-benzodioxol-5-yl)thio)-n-(1-methylethyl)-"
"C101227","hsp90 inhibitor pu-h71"
"C101227","pu-h-71"
"C101227","pu-h71"
"C101227","puh71"
"C101257","igf-1r antisense oligodeoxynucleotide-treated autologous glioma cells igv-001"
"C101257","igf-1r/as odn-treated autologous glioma cells igv-001"
"C101257","igv 001"
"C101257","igv-001"
"C101257","igv001"
"C101258","cd19car-cd3zeta-4-1bb-expressing allogeneic t-lymphocyte cells"
"C101258","cart-19 cells"
"C101260","multifunctional/multitargeted anticancer agent omn54"
"C101260","aneustat"
"C101260","mfmt omn54"
"C101260","omn54"
"C101261","bevacizumab-irdye 800cw"
"C101262","liposomal muc1/pet-lipid a vaccine ont-10"
"C101262","ont-10"
"C101263","sofosbuvir"
"C101263","gs-7977"
"C101263","l-alanine, n-[[p(s),2'r]-2'-deoxy-2'-fluoro-2'-methyl-p-phenyl-5'-uridylyl]-, 1-methylethyl ester"
"C101263","psi-7977"
"C101264","valecobulin"
"C101264","(s)-n-(4-(3-(1h-1,2,4-triazol-1-yl)-4-(3,4,5-trimethoxybenzoyl)phenyl)thiazol-2-yl)-2-amino-3-methylbutanamide hydrochloride"
"C101264","ckd-516"
"C101264","tubulin polymerization inhibitor ckd-516"
"C101265","bovine lactoferrin supplement"
"C101265","blf supplement"
"C101366","anti-cd40 monoclonal antibody chi lob 7/4"
"C101366","chi lob 7/4"
"C101367","cd-expressing bifidobacterium aps001f"
"C101367","aps001f"
"C101368","danvatirsen"
"C101368","azd9150"
"C101368","isis 481464"
"C101368","isis-stat3rx"
"C101369","gallium ga 68-edotreotide"
"C101369","68ga-dota-toc"
"C101369","68ga-dota-d-phe1-tyr3-octreotide"
"C101369","edotreotide gallium ga-68"
"C101369","ga-68 dota0-tyr3-octreotide"
"C101369","ga-68 dotatoc"
"C101369","ga-68-dota-toc"
"C101369","ga-68-dota-tyr(3)-octreotide"
