"from","to","parent_action_type","action_type","mechanism_of_action","disease_efficacy","source","LINK_FUNCTION"
"C100089","IFNGR1","POSITIVE MODULATOR","AGONIST","Interferon gamma receptor agonist",TRUE,"ChEMBL",1
"C100089","IFNGR2","POSITIVE MODULATOR","AGONIST","Interferon gamma receptor agonist",TRUE,"ChEMBL",1
"C1001","TLR3","POSITIVE MODULATOR","AGONIST","Toll-like receptor 3 agonist",TRUE,"ChEMBL",1
"C100101","CD37","OTHER","BINDING AGENT","Leukocyte antigen CD37 binding agent",TRUE,"ChEMBL",0
"C1005","TXNRD1","NEGATIVE MODULATOR","INHIBITOR","Thioredoxin reductase 1 inhibitor",TRUE,"ChEMBL",-1
"C1008","UMPS","NEGATIVE MODULATOR","INHIBITOR","Uridine 5'-monophosphate synthase inhibitor",TRUE,"ChEMBL",-1
"C101131","GLP2R","POSITIVE MODULATOR","AGONIST","Glucagon-like peptide 2 receptor agonist",TRUE,"ChEMBL",1
"C101132","ND1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND4","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND4L","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND5","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","ND6","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
