"source_node","source_node_type","affected_gene","affected_gene_role","pathlength","link_product"
"C100089","treatment","IFNGR1","TUMOUR SUPPRESSOR",1,1
"C100089","treatment","JAK3","ONCOGENE",2,1
"C100089","treatment","PIK3CA","ONCOGENE",3,1
"C100089","treatment","STAT6","ONCOGENE",3,0
"C100089","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","PTPN11","ONCOGENE",3,1
"C100089","treatment","PIK3CB","ONCOGENE",3,1
"C100089","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","BCL2","ONCOGENE",3,1
"C100089","treatment","CCND3","ONCOGENE",3,1
"C100089","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","MYC","ONCOGENE",3,1
"C100089","treatment","CCND2","ONCOGENE",3,1
"C100089","treatment","CCND1","ONCOGENE",3,1
"C100089","treatment","RELA","ONCOGENE",2,1
"C100089","treatment","TRAF3","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","PTPN13","TUMOUR SUPPRESSOR",3,1
"C100089","treatment","BIRC3","ONCOGENE",3,1
"C100089","treatment","NFKBIA","TUMOUR SUPPRESSOR",3,0
"C101384","treatment","PRKCD","TUMOUR SUPPRESSOR",1,-1
"C101519","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C101519","treatment","PIK3CB","ONCOGENE",3,-1
"C101519","treatment","PIK3CA","ONCOGENE",3,-1
"C101519","treatment","SOS1","ONCOGENE",3,-1
"C101519","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C101519","treatment","PDGFRA","ONCOGENE",3,0
"C101519","treatment","PDGFRB","ONCOGENE",3,0
"C101519","treatment","FGFR1","ONCOGENE",3,0
"C101519","treatment","KIT","ONCOGENE",3,0
"C101519","treatment","NTRK1","ONCOGENE",3,0
"C101519","treatment","ERBB2","ONCOGENE",3,0
"C101519","treatment","MET","ONCOGENE",3,0
"C101519","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C101519","treatment","FGFR4","ONCOGENE",3,0
"C101519","treatment","EGFR","ONCOGENE",3,0
"C101519","treatment","FGFR2","ONCOGENE",3,0
"C101519","treatment","FGFR3","ONCOGENE",3,0
"C101519","treatment","FLT3","ONCOGENE",3,0
"C101519","treatment","KDR","ONCOGENE",3,0
"C101519","treatment","ERBB3","ONCOGENE",3,0
"C101520","treatment","FLT3","ONCOGENE",1,-1
"C101520","treatment","PIK3CA","ONCOGENE",2,-1
"C101520","treatment","MTOR","ONCOGENE",3,1
"C101520","treatment","RAC1","ONCOGENE",3,1
"C101520","treatment","AKT1","ONCOGENE",3,0
"C101520","treatment","VAV1","ONCOGENE",3,0
"C101520","treatment","CCND2","ONCOGENE",3,-1
"C101520","treatment","PIM1","TUMOUR SUPPRESSOR",3,-1
"C101520","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,-1
"C101520","treatment","MYC","ONCOGENE",3,0
"C101520","treatment","CCND3","ONCOGENE",3,-1
"C101520","treatment","CCND1","ONCOGENE",3,-1
"C101520","treatment","BCL2","ONCOGENE",3,-1
"C101520","treatment","SOCS1","TUMOUR SUPPRESSOR",3,-1
"C101520","treatment","STAT6","ONCOGENE",3,0
"C101520","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,-1
"C101520","treatment","SOS1","ONCOGENE",3,-1
"C101520","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C101520","treatment","PDGFRA","ONCOGENE",3,0
"C101520","treatment","PDGFRB","ONCOGENE",3,0
"C101520","treatment","FGFR1","ONCOGENE",3,0
"C101520","treatment","KIT","ONCOGENE",3,0
"C101520","treatment","NTRK1","ONCOGENE",3,0
"C101520","treatment","ERBB2","ONCOGENE",3,0
"C101520","treatment","MET","ONCOGENE",3,0
"C101520","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C101520","treatment","FGFR4","ONCOGENE",3,0
"C101520","treatment","EGFR","ONCOGENE",3,0
"C101520","treatment","FGFR2","ONCOGENE",3,0
"C101520","treatment","FGFR3","ONCOGENE",3,0
"C101520","treatment","FLT3","ONCOGENE",3,0
"C101520","treatment","KDR","ONCOGENE",3,0
"C101520","treatment","ERBB3","ONCOGENE",3,0
"C101520","treatment","PIK3CB","ONCOGENE",2,-1
"C101520","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C101520","treatment","PIK3CB","ONCOGENE",3,-1
"C101520","treatment","PIK3CA","ONCOGENE",3,-1
"C101520","treatment","CSF3R","ONCOGENE",3,0
"C101532","treatment","MAP2K1","ONCOGENE",1,-1
"C101532","treatment","BCL2","ONCOGENE",3,0
"C101532","treatment","TP53","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","MAPK1","ONCOGENE",2,0
"C101532","treatment","CDK4","ONCOGENE",3,0
"C101532","treatment","CCND1","ONCOGENE",3,0
"C101532","treatment","ESR1","ONCOGENE",3,0
"C101532","treatment","MYC","ONCOGENE",3,0
"C101532","treatment","RPS6KA3","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","SMAD3","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","SMAD2","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C101532","treatment","AR","ONCOGENE",3,0
"C101778","treatment","CSF3R","ONCOGENE",1,1
"C101778","treatment","CCND2","ONCOGENE",3,1
"C101778","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C101778","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C101778","treatment","MYC","ONCOGENE",3,1
"C101778","treatment","CCND3","ONCOGENE",3,1
"C101778","treatment","CCND1","ONCOGENE",3,1
"C101778","treatment","BCL2","ONCOGENE",3,1
"C101778","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C101778","treatment","STAT6","ONCOGENE",3,0
"C101786","treatment","BCL2","ONCOGENE",3,0
"C101786","treatment","EP300","TUMOUR SUPPRESSOR",3,0
"C101786","treatment","CREBBP","TUMOUR SUPPRESSOR",3,0
"C101790","treatment","ALK","ONCOGENE",1,-1
"C101790","treatment","KRAS","ONCOGENE",2,0
"C101790","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C101790","treatment","BRAF","ONCOGENE",3,0
"C101790","treatment","PIK3CB","ONCOGENE",3,0
"C101790","treatment","ARAF","ONCOGENE",3,0
"C101790","treatment","RAF1","ONCOGENE",3,0
"C101790","treatment","RALGDS","ONCOGENE",3,0
"C101790","treatment","PIK3CA","ONCOGENE",3,0
"C101790","treatment","AKT1","ONCOGENE",3,0
"C101790","treatment","MTOR","ONCOGENE",3,1
"C101790","treatment","RAC1","ONCOGENE",3,1
"C101790","treatment","VAV1","ONCOGENE",3,0
"C101790","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,1
"C101790","treatment","STAT6","ONCOGENE",3,1
"C101790","treatment","PTPN11","ONCOGENE",3,1
"C101790","treatment","JAK3","ONCOGENE",2,1
"C101790","treatment","PIK3CA","ONCOGENE",2,1
"C101790","treatment","PLCG1","ONCOGENE",2,-1
"C101790","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C101790","treatment","PRKCB","ONCOGENE",3,0
"C101790","treatment","NRAS","ONCOGENE",2,0
"C101790","treatment","HRAS","ONCOGENE",2,0
"C101790","treatment","PIK3CB","ONCOGENE",2,1
"C101790","treatment","RET","ONCOGENE",1,-1
"C101791","treatment","EGFR","ONCOGENE",1,-1
"C101791","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C101791","treatment","RAC1","ONCOGENE",3,0
"C101791","treatment","MTOR","ONCOGENE",3,0
"C101791","treatment","AKT1","ONCOGENE",3,0
"C101791","treatment","VAV1","ONCOGENE",3,0
"C101791","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","STAT6","ONCOGENE",3,0
"C101791","treatment","PTPN11","ONCOGENE",3,-1
"C101791","treatment","PIK3CA","ONCOGENE",3,0
"C101791","treatment","PIK3CB","ONCOGENE",3,0
"C101791","treatment","BCL2","ONCOGENE",3,0
"C101791","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C101791","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C101791","treatment","CCND1","ONCOGENE",3,0
"C101791","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C101791","treatment","CCND2","ONCOGENE",3,1
"C101791","treatment","CCND3","ONCOGENE",3,1
"C101791","treatment","MYC","ONCOGENE",3,0
"C101791","treatment","JAK3","ONCOGENE",2,-1
"C101791","treatment","MAP2K1","ONCOGENE",2,-1
"C101791","treatment","MAPK1","ONCOGENE",3,0
"C101791","treatment","HRAS","ONCOGENE",2,-1
"C101791","treatment","ARAF","ONCOGENE",3,-1
"C101791","treatment","RAF1","ONCOGENE",3,-1
"C101791","treatment","BRAF","ONCOGENE",3,-1
"C101791","treatment","RALGDS","ONCOGENE",3,-1
"C101791","treatment","PIK3CB","ONCOGENE",2,0
"C101791","treatment","PLCG1","ONCOGENE",2,-1
"C101791","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C101791","treatment","PRKCB","ONCOGENE",3,0
"C101791","treatment","NRAS","ONCOGENE",2,-1
"C101791","treatment","KRAS","ONCOGENE",2,-1
"C101791","treatment","SOS1","ONCOGENE",3,-1
"C101791","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","PDGFRA","ONCOGENE",3,0
"C101791","treatment","PDGFRB","ONCOGENE",3,0
"C101791","treatment","FGFR1","ONCOGENE",3,0
"C101791","treatment","KIT","ONCOGENE",3,0
"C101791","treatment","NTRK1","ONCOGENE",3,0
"C101791","treatment","ERBB2","ONCOGENE",3,0
"C101791","treatment","MET","ONCOGENE",3,0
"C101791","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","FGFR4","ONCOGENE",3,0
"C101791","treatment","EGFR","ONCOGENE",3,0
"C101791","treatment","FGFR2","ONCOGENE",3,0
"C101791","treatment","FGFR3","ONCOGENE",3,0
"C101791","treatment","FLT3","ONCOGENE",3,0
"C101791","treatment","KDR","ONCOGENE",3,0
"C101791","treatment","ERBB3","ONCOGENE",3,0
"C101791","treatment","PIK3CA","ONCOGENE",2,0
"C101791","treatment","RHOA","ONCOGENE",3,-1
"C101791","treatment","CTNNB1","ONCOGENE",2,1
"C101791","treatment","CTNNB1","ONCOGENE",3,0
"C101791","treatment","TCF7L2","ONCOGENE",3,1
"C101791","treatment","CREBBP","TUMOUR SUPPRESSOR",3,-1
"C101791","treatment","EP300","TUMOUR SUPPRESSOR",3,-1
"C101791","treatment","CDH1","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","RPS6KA3","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","CDK4","ONCOGENE",3,0
"C101791","treatment","ESR1","ONCOGENE",3,0
"C101791","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","SMAD3","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","SMAD2","TUMOUR SUPPRESSOR",3,0
"C101791","treatment","AR","ONCOGENE",3,0
"C101791","treatment","MAPK1","ONCOGENE",2,0
"C101791","treatment","ERBB2","ONCOGENE",2,0
"C101791","treatment","PLCG1","ONCOGENE",3,0
"C101791","treatment","MAP2K1","ONCOGENE",3,0
"C101791","treatment","JAK3","ONCOGENE",3,0
"C101795","treatment","MTOR","ONCOGENE",1,-1
"C101795","treatment","RHOA","ONCOGENE",2,-1
"C101795","treatment","PRKCB","ONCOGENE",2,-1
"C101795","treatment","NRAS","ONCOGENE",3,0
"C101795","treatment","RAF1","ONCOGENE",3,0
"C101795","treatment","BRAF","ONCOGENE",3,-1
"C101795","treatment","ARAF","ONCOGENE",3,-1
"C101795","treatment","HRAS","ONCOGENE",3,0
"C101795","treatment","MTOR","ONCOGENE",3,-1
"C101795","treatment","KRAS","ONCOGENE",3,0
"C101795","treatment","RRAS2","ONCOGENE",3,0
"C101795","treatment","CLIP1","TUMOUR SUPPRESSOR",2,-1
"C101895","treatment","ERBB3","ONCOGENE",1,-1
"C101895","treatment","PRKCB","ONCOGENE",3,0
"C101895","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C101895","treatment","PLCG1","ONCOGENE",2,-1
"C101895","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C101895","treatment","PIK3CB","ONCOGENE",3,-1
"C101895","treatment","PIK3CA","ONCOGENE",3,-1
"C101895","treatment","SOS1","ONCOGENE",3,-1
"C101895","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C101895","treatment","PDGFRA","ONCOGENE",3,0
"C101895","treatment","PDGFRB","ONCOGENE",3,0
"C101895","treatment","FGFR1","ONCOGENE",3,0
"C101895","treatment","KIT","ONCOGENE",3,0
"C101895","treatment","NTRK1","ONCOGENE",3,0
"C101895","treatment","ERBB2","ONCOGENE",3,0
"C101895","treatment","MET","ONCOGENE",3,0
"C101895","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C101895","treatment","FGFR4","ONCOGENE",3,0
"C101895","treatment","EGFR","ONCOGENE",3,0
"C101895","treatment","FGFR2","ONCOGENE",3,0
"C101895","treatment","FGFR3","ONCOGENE",3,0
"C101895","treatment","FLT3","ONCOGENE",3,0
