"from","to","driver_mechanism","relationship","LINK_FUNCTION"
"ABCB1 GoF","ABCB1","GoF","activates",1
"ABL1 GoF","ABL1","GoF","activates",1
"ABL2 GoF","ABL2","GoF","activates",1
"ACKR3 GoF","ACKR3","GoF","activates",1
"ACSL3 GoF","ACSL3","GoF","activates",1
"ACVR2A LoF","ACVR2A","LoF","inhibits",-1
"AFF1 GoF","AFF1","GoF","activates",1
"AJUBA LoF","AJUBA","LoF","inhibits",-1
"AKT1 GoF","AKT1","GoF","activates",1
"ALB GoF","ALB","GoF","activates",1
"ALK GoF","ALK","GoF","activates",1
"AMER1 LoF","AMER1","LoF","inhibits",-1
"APC LoF","APC","LoF","inhibits",-1
"AR GoF","AR","GoF","activates",1
"ARAF GoF","ARAF","GoF","activates",1
"ARHGAP35 LoF","ARHGAP35","LoF","inhibits",-1
"ARHGAP5 LoF","ARHGAP5","LoF","inhibits",-1
"ARHGEF10L LoF","ARHGEF10L","LoF","inhibits",-1
"ARHGEF12 GoF","ARHGEF12","GoF","activates",1
"ARID1A LoF","ARID1A","LoF","inhibits",-1
"ARID1B LoF","ARID1B","LoF","inhibits",-1
"ARID2 LoF","ARID2","LoF","inhibits",-1
"ASXL1 LoF","ASXL1","LoF","inhibits",-1
"ASXL2 LoF","ASXL2","LoF","inhibits",-1
"ATF7IP LoF","ATF7IP","LoF","inhibits",-1
"ATG7 LoF","ATG7","LoF","inhibits",-1
"ATM LoF","ATM","LoF","inhibits",-1
"ATR LoF","ATR","LoF","inhibits",-1
"ATRX LoF","ATRX","LoF","inhibits",-1
"AXIN1 LoF","AXIN1","LoF","inhibits",-1
"AXIN2 LoF","AXIN2","LoF","inhibits",-1
"B2M LoF","B2M","LoF","inhibits",-1
"BAP1 LoF","BAP1","LoF","inhibits",-1
"BCL11A GoF","BCL11A","GoF","activates",1
"BCL11B GoF","BCL11B","GoF","activates",1
"BCL2 GoF","BCL2","GoF","activates",1
"BCL6 GoF","BCL6","GoF","activates",1
"BCL7A GoF","BCL7A","GoF","activates",1
"BCL9 GoF","BCL9","GoF","activates",1
"BCL9L GoF","BCL9L","GoF","activates",1
"BCLAF1 GoF","BCLAF1","GoF","activates",1
"BCOR LoF","BCOR","LoF","inhibits",-1
"BCORL1 LoF","BCORL1","LoF","inhibits",-1
"BCR GoF","BCR","GoF","activates",1
"BIRC3 GoF","BIRC3","GoF","activates",1
"BMPR1A LoF","BMPR1A","LoF","inhibits",-1
"BMPR2 LoF","BMPR2","LoF","inhibits",-1
"BRAF GoF","BRAF","GoF","activates",1
"BRCA1 LoF","BRCA1","LoF","inhibits",-1
"BRCA2 LoF","BRCA2","LoF","inhibits",-1
"BRD4 GoF","BRD4","GoF","activates",1
"BRD7 LoF","BRD7","LoF","inhibits",-1
"BTK GoF","BTK","GoF","activates",1
"CAMTA1 LoF","CAMTA1","LoF","inhibits",-1
"CARD11 GoF","CARD11","GoF","activates",1
"CASP8 LoF","CASP8","LoF","inhibits",-1
"CASZ1 LoF","CASZ1","LoF","inhibits",-1
"CBFA2T3 GoF","CBFA2T3","GoF","activates",1
"CBFB GoF","CBFB","GoF","activates",1
"CBL GoF","CBL","GoF","activates",1
"CCDC6 LoF","CCDC6","LoF","inhibits",-1
"CCND1 GoF","CCND1","GoF","activates",1
"CCND2 GoF","CCND2","GoF","activates",1
"CCND3 GoF","CCND3","GoF","activates",1
"CCR7 LoF","CCR7","LoF","inhibits",-1
"CD58 LoF","CD58","LoF","inhibits",-1
"CD79B GoF","CD79B","GoF","activates",1
"CDC73 LoF","CDC73","LoF","inhibits",-1
"CDH1 LoF","CDH1","LoF","inhibits",-1
"CDH10 GoF","CDH10","GoF","activates",1
"CDK12 LoF","CDK12","LoF","inhibits",-1
"CDK4 GoF","CDK4","GoF","activates",1
"CDKN1A LoF","CDKN1A","LoF","inhibits",-1
"CDKN1B LoF","CDKN1B","LoF","inhibits",-1
"CDKN2A LoF","CDKN2A","LoF","inhibits",-1
"CDKN2C LoF","CDKN2C","LoF","inhibits",-1
"CDX2 GoF","CDX2","GoF","activates",1
"CHD2 LoF","CHD2","LoF","inhibits",-1
"CHD4 GoF","CHD4","GoF","activates",1
"CHEK2 LoF","CHEK2","LoF","inhibits",-1
"CIC LoF","CIC","LoF","inhibits",-1
"CIITA GoF","CIITA","GoF","activates",1
"CLIP1 LoF","CLIP1","LoF","inhibits",-1
"CLTC GoF","CLTC","GoF","activates",1
"CLTCL1 GoF","CLTCL1","GoF","activates",1
"CMTR2 LoF","CMTR2","LoF","inhibits",-1
"CNOT3 GoF","CNOT3","GoF","activates",1
"COL1A1 GoF","COL1A1","GoF","activates",1
"CPEB3 GoF","CPEB3","GoF","activates",1
"CREBBP LoF","CREBBP","LoF","inhibits",-1
"CRNKL1 GoF","CRNKL1","GoF","activates",1
"CSF3R GoF","CSF3R","GoF","activates",1
"CTCF LoF","CTCF","LoF","inhibits",-1
"CTNNB1 GoF","CTNNB1","GoF","activates",1
"CUL3 LoF","CUL3","LoF","inhibits",-1
"CXCR4 GoF","CXCR4","GoF","activates",1
"CYLD LoF","CYLD","LoF","inhibits",-1
"CYP2C8 LoF","CYP2C8","LoF","inhibits",-1
"CYSLTR2 GoF","CYSLTR2","GoF","activates",1
"DAXX LoF","DAXX","LoF","inhibits",-1
"DAZAP1 LoF","DAZAP1","LoF","inhibits",-1
"DCAF12L2 GoF","DCAF12L2","GoF","activates",1
"DCC LoF","DCC","LoF","inhibits",-1
"DCSTAMP GoF","DCSTAMP","GoF","activates",1
"DDB2 LoF","DDB2","LoF","inhibits",-1
"DDX3X LoF","DDX3X","LoF","inhibits",-1
"DGCR8 LoF","DGCR8","LoF","inhibits",-1
"DHX9 GoF","DHX9","GoF","activates",1
"DICER1 LoF","DICER1","LoF","inhibits",-1
"DIS3 LoF","DIS3","LoF","inhibits",-1
"DNAJB1 LoF","DNAJB1","LoF","inhibits",-1
"DNMT3A LoF","DNMT3A","LoF","inhibits",-1
"DOT1L LoF","DOT1L","LoF","inhibits",-1
"DROSHA LoF","DROSHA","LoF","inhibits",-1
"DUSP16 LoF","DUSP16","LoF","inhibits",-1
"EGFR GoF","EGFR","GoF","activates",1
"EIF1AX LoF","EIF1AX","LoF","inhibits",-1
"EIF3E GoF","EIF3E","GoF","activates",1
"ELF3 LoF","ELF3","LoF","inhibits",-1
"ELF4 GoF","ELF4","GoF","activates",1
"EP300 LoF","EP300","LoF","inhibits",-1
"EPAS1 GoF","EPAS1","GoF","activates",1
"EPHA2 LoF","EPHA2","LoF","inhibits",-1
"EPS15 GoF","EPS15","GoF","activates",1
"ERBB2 GoF","ERBB2","GoF","activates",1
"ERBB3 GoF","ERBB3","GoF","activates",1
"ERBB4 LoF","ERBB4","LoF","inhibits",-1
