"entrez_symbol","driver_mechanism","label"
"ABCB1","GoF","ABCB1 GoF"
"ABL1","GoF","ABL1 GoF"
"ABL2","GoF","ABL2 GoF"
"ACKR3","GoF","ACKR3 GoF"
"ACSL3","GoF","ACSL3 GoF"
"ACVR2A","LoF","ACVR2A LoF"
"AFF1","GoF","AFF1 GoF"
"AJUBA","LoF","AJUBA LoF"
"AKT1","GoF","AKT1 GoF"
"ALB","GoF","ALB GoF"
"ALK","GoF","ALK GoF"
"AMER1","LoF","AMER1 LoF"
"APC","LoF","APC LoF"
"AR","GoF","AR GoF"
"ARAF","GoF","ARAF GoF"
"ARHGAP35","LoF","ARHGAP35 LoF"
"ARHGAP5","LoF","ARHGAP5 LoF"
"ARHGEF10L","LoF","ARHGEF10L LoF"
"ARHGEF12","GoF","ARHGEF12 GoF"
"ARID1A","LoF","ARID1A LoF"
"ARID1B","LoF","ARID1B LoF"
"ARID2","LoF","ARID2 LoF"
"ASXL1","LoF","ASXL1 LoF"
"ASXL2","LoF","ASXL2 LoF"
"ATF7IP","LoF","ATF7IP LoF"
"ATG7","LoF","ATG7 LoF"
"ATM","LoF","ATM LoF"
"ATR","LoF","ATR LoF"
"ATRX","LoF","ATRX LoF"
"AXIN1","LoF","AXIN1 LoF"
"AXIN2","LoF","AXIN2 LoF"
"B2M","LoF","B2M LoF"
"BAP1","LoF","BAP1 LoF"
"BCL11A","GoF","BCL11A GoF"
"BCL11B","GoF","BCL11B GoF"
"BCL2","GoF","BCL2 GoF"
"BCL6","GoF","BCL6 GoF"
"BCL7A","GoF","BCL7A GoF"
"BCL9","GoF","BCL9 GoF"
"BCL9L","GoF","BCL9L GoF"
"BCLAF1","GoF","BCLAF1 GoF"
"BCOR","LoF","BCOR LoF"
"BCORL1","LoF","BCORL1 LoF"
"BCR","GoF","BCR GoF"
"BIRC3","GoF","BIRC3 GoF"
"BMPR1A","LoF","BMPR1A LoF"
"BMPR2","LoF","BMPR2 LoF"
"BRAF","GoF","BRAF GoF"
"BRCA1","LoF","BRCA1 LoF"
"BRCA2","LoF","BRCA2 LoF"
"BRD4","GoF","BRD4 GoF"
"BRD7","LoF","BRD7 LoF"
"BTK","GoF","BTK GoF"
"CAMTA1","LoF","CAMTA1 LoF"
"CARD11","GoF","CARD11 GoF"
"CASP8","LoF","CASP8 LoF"
"CASZ1","LoF","CASZ1 LoF"
"CBFA2T3","GoF","CBFA2T3 GoF"
"CBFB","GoF","CBFB GoF"
"CBL","GoF","CBL GoF"
"CCDC6","LoF","CCDC6 LoF"
"CCND1","GoF","CCND1 GoF"
"CCND2","GoF","CCND2 GoF"
"CCND3","GoF","CCND3 GoF"
"CCR7","LoF","CCR7 LoF"
"CD58","LoF","CD58 LoF"
"CD79B","GoF","CD79B GoF"
"CDC73","LoF","CDC73 LoF"
"CDH1","LoF","CDH1 LoF"
"CDH10","GoF","CDH10 GoF"
"CDK12","LoF","CDK12 LoF"
"CDK4","GoF","CDK4 GoF"
"CDKN1A","LoF","CDKN1A LoF"
"CDKN1B","LoF","CDKN1B LoF"
"CDKN2A","LoF","CDKN2A LoF"
"CDKN2C","LoF","CDKN2C LoF"
"CDX2","GoF","CDX2 GoF"
"CHD2","LoF","CHD2 LoF"
"CHD4","GoF","CHD4 GoF"
