"entryACCESSION","entrez_symbol","entryTYPE","OMIM","UNIPROT","ROLE","pathway","source","activity","deviation","label"
"kegg_C01089","(R)-3-Hydroxybutanoate","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"(R)-3-Hydroxybutanoate"
"kegg_C00186","(S)-Lactate","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"(S)-Lactate"
"kegg_C00149","(S)-Malate","compound",NA,NA,NA,"Pathways in cancer","KEGG",1,0,"(S)-Malate"
"kegg_C00681","1-Acyl-sn-glycerol 3-phosphate","compound",NA,NA,NA,"Pathways in cancer","KEGG",1,0,"1-Acyl-sn-glycerol 3-phosphate"
"kegg_C11556","1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate","compound",NA,NA,NA,"Calcium signaling pathway","KEGG",1,0,"1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate"
"kegg_C16038","2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine","compound",NA,NA,NA,"Prostate cancer","KEGG",1,0,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"
"kegg_C00026","2-Oxoglutarate","compound",NA,NA,NA,"HIF-1 signaling pathway","KEGG",1,0,"2-Oxoglutarate"
"kegg_C00575","3',5'-Cyclic AMP","compound",NA,NA,NA,"cAMP signaling pathway|MAPK signaling pathway|Hedgehog signaling pathway|Estrogen signaling pathway|Calcium signaling pathway","KEGG",1,0,"3',5'-Cyclic AMP"
"kegg_C20793","3-Hydroxyoctanoate","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"3-Hydroxyoctanoate"
"kegg_C00334","4-Aminobutanoate","compound",NA,NA,NA,"Estrogen signaling pathway|cAMP signaling pathway","KEGG",1,0,"4-Aminobutanoate"
"kegg_C21642","4-Hydroxynonenal","compound",NA,NA,NA,"Pathways in cancer|Hepatocellular carcinoma","KEGG",1,0,"4-Hydroxynonenal"
"kegg_C15493","9-cis-Retinoic acid","compound",NA,NA,NA,"PPAR signaling pathway","KEGG",1,0,"9-cis-Retinoic acid"
"kegg_C14767","9(S)-HODE","compound",NA,NA,NA,"PPAR signaling pathway","KEGG",1,0,"9(S)-HODE"
"kegg_5243","ABCB1","gene","120080|171050|612244","A4D1D2|P08183","ONCOGENE","Gastric cancer","KEGG",1,0,"ABCB1"
"kegg_25","ABL1","gene","189980|608232|617602","A0A024R8E2|P00519|Q59FK4","ONCOGENE","Chronic myeloid leukemia|Pathways in cancer|Cell cycle","KEGG",1,0,"ABL1"
"kegg_30","ACAA1","gene","604054","A0A140VJX0|P09110|A0A024R2M6",NA,"PPAR signaling pathway","KEGG",1,0,"ACAA1"
"kegg_33","ACADL","gene","609576","P28330",NA,"PPAR signaling pathway","KEGG",1,0,"ACADL"
"kegg_34","ACADM","gene","201450|607008","A0A0S2Z366|P11310|B7Z9I1|Q5HYG7|Q5T4U5|B4DJE7",NA,"PPAR signaling pathway","KEGG",1,0,"ACADM"
"kegg_C01996","Acetylcholine","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"Acetylcholine"
"kegg_57007","ACKR3","gene","610376|619215","P25106","ONCOGENE","Cytokine-cytokine receptor interaction","KEGG",1,0,"ACKR3"
"kegg_51554","ACKR4","gene","606065","Q9NPB9",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"ACKR4"
"kegg_51","ACOX1","gene","264470|609751|618960","Q15067",NA,"cAMP signaling pathway|PPAR signaling pathway","KEGG",1,0,"ACOX1"
"kegg_8309","ACOX2","gene","601641|617308","Q99424",NA,"PPAR signaling pathway","KEGG",1,0,"ACOX2"
"kegg_8310","ACOX3","gene","603402","O15254",NA,"cAMP signaling pathway|PPAR signaling pathway","KEGG",1,0,"ACOX3"
"kegg_52","ACP1","gene","171500","A0A140VK37|P24666|Q59EH3",NA,"Adherens junction","KEGG",1,0,"ACP1"
"kegg_C01471","Acrolein","compound",NA,NA,NA,"Pathways in cancer|Hepatocellular carcinoma","KEGG",1,0,"Acrolein"
"kegg_23205","ACSBG1","gene","614362","B7Z2Y6|Q96GR2|B3KNS7",NA,"PPAR signaling pathway","KEGG",1,0,"ACSBG1"
"kegg_81616","ACSBG2","gene","614363","A0A140VJD4|Q5FVE4|B4DYU1",NA,"PPAR signaling pathway","KEGG",1,0,"ACSBG2"
"kegg_2180","ACSL1","gene","152425","A8K9T3|P33121|B4E0R0|E7EPM6",NA,"PPAR signaling pathway","KEGG",1,0,"ACSL1"
"kegg_2181","ACSL3","gene","602371","A0A024R497|O95573","ONCOGENE","PPAR signaling pathway","KEGG",1,0,"ACSL3"
"kegg_2182","ACSL4","gene","300157|300387","O60488|Q8TAF6",NA,"PPAR signaling pathway","KEGG",1,0,"ACSL4"
"kegg_51703","ACSL5","gene","605677","Q9ULC5",NA,"PPAR signaling pathway","KEGG",1,0,"ACSL5"
"kegg_23305","ACSL6","gene","604443","Q9UKU0|B4DFW3|B2RB13",NA,"PPAR signaling pathway","KEGG",1,0,"ACSL6"
"kegg_60","ACTB","gene","102630|243310|607371","P60709|Q1KLZ0",NA,"Hepatocellular carcinoma|Adherens junction|Apoptosis|Focal adhesion","KEGG",1,0,"ACTB"
"kegg_71","ACTG1","gene","102560|604717|614583","P63261",NA,"Hepatocellular carcinoma|Adherens junction|Apoptosis|Focal adhesion","KEGG",1,0,"ACTG1"
"kegg_86","ACTL6A","gene","604958","O96019",NA,"Hepatocellular carcinoma","KEGG",1,0,"ACTL6A"
"kegg_51412","ACTL6B","gene","612458|618468|618470","O94805",NA,"Hepatocellular carcinoma","KEGG",1,0,"ACTL6B"
"kegg_87","ACTN1","gene","102575|615193","A0A024R694|P12814",NA,"Adherens junction|Focal adhesion","KEGG",1,0,"ACTN1"
"kegg_81","ACTN4","gene","603278|604638","A0A0S2Z3G9|O43707",NA,"Adherens junction|Focal adhesion","KEGG",1,0,"ACTN4"
"kegg_90","ACVR1","gene","102576|135100","D3DPA4|Q04771",NA,"Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"ACVR1"
"kegg_91","ACVR1B","gene","601300","P36896",NA,"Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"ACVR1B"
"kegg_130399","ACVR1C","gene","608981","Q8NER5",NA,"Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"ACVR1C"
"kegg_92","ACVR2A","gene","102581","P27037","TUMOUR SUPPRESSOR","TGF-beta signaling pathway|Cytokine-cytokine receptor interaction","KEGG",1,0,"ACVR2A"
"kegg_93","ACVR2B","gene","602730|613751","Q13705",NA,"Cytokine-cytokine receptor interaction|TGF-beta signaling pathway","KEGG",1,0,"ACVR2B"
"kegg_94","ACVRL1","gene","600376|601284","A0A0S2Z310|P37023",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"ACVRL1"
"kegg_6868","ADAM17","gene","603639|614328","B2RNB2|P78536",NA,"Notch signaling pathway","KEGG",1,0,"ADAM17"
"kegg_107","ADCY1","gene","103072|610154","C9J1J0|Q08828",NA,"Estrogen signaling pathway|cAMP signaling pathway|Calcium signaling pathway","KEGG",1,0,"ADCY1"
"kegg_55811","ADCY10","gene","143870|605205","Q96PN6|A0A0K0K1J8",NA,"cAMP signaling pathway","KEGG",1,0,"ADCY10"
"kegg_108","ADCY2","gene","103071","Q08462|Q71UM8",NA,"cAMP signaling pathway|Estrogen signaling pathway|Calcium signaling pathway","KEGG",1,0,"ADCY2"
"kegg_109","ADCY3","gene","600291|617885","A0A0A0MSC1|B7ZLX9|O60266",NA,"cAMP signaling pathway|Calcium signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ADCY3"
"kegg_196883","ADCY4","gene","600292","Q8NFM4|Q86TZ7",NA,"Calcium signaling pathway|Estrogen signaling pathway|cAMP signaling pathway","KEGG",1,0,"ADCY4"
"kegg_111","ADCY5","gene","600293|606703|619647|619651","O95622|B7Z2C7|B3KWA8",NA,"cAMP signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ADCY5"
"kegg_112","ADCY6","gene","600294|616287","O43306",NA,"cAMP signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ADCY6"
"kegg_113","ADCY7","gene","600385","P51828|Q86YI0|B3KSJ0|F5H4D1",NA,"cAMP signaling pathway|Estrogen signaling pathway|Calcium signaling pathway","KEGG",1,0,"ADCY7"
"kegg_114","ADCY8","gene","103070","A0A0K0K1K3|P40145|Q4F7X0",NA,"Calcium signaling pathway|cAMP signaling pathway|Estrogen signaling pathway","KEGG",1,0,"ADCY8"
"kegg_115","ADCY9","gene","603302","O60503",NA,"Calcium signaling pathway|Estrogen signaling pathway|cAMP signaling pathway","KEGG",1,0,"ADCY9"
"kegg_116","ADCYAP1","gene","102980","P18509",NA,"cAMP signaling pathway","KEGG",1,0,"ADCYAP1"
"kegg_117","ADCYAP1R1","gene","102981","A0A090N8F8|P41586",NA,"cAMP signaling pathway","KEGG",1,0,"ADCYAP1R1"
"kegg_C00212","Adenosine","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"Adenosine"
"kegg_575","ADGRB1","gene","602682","O14514",NA,"p53 signaling pathway","KEGG",1,0,"ADGRB1"
"kegg_9370","ADIPOQ","gene","605441|612556","A8K660|B2R773|Q15848",NA,"PPAR signaling pathway","KEGG",1,0,"ADIPOQ"
"kegg_134","ADORA1","gene","102775","P30542|B7Z1L9",NA,"cAMP signaling pathway","KEGG",1,0,"ADORA1"
"kegg_135","ADORA2A","gene","102776","B3KVQ4|P29274|X5DNB4|A8K1F6",NA,"Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"ADORA2A"
"kegg_136","ADORA2B","gene","600446","P29275",NA,"Calcium signaling pathway","KEGG",1,0,"ADORA2B"
"kegg_148","ADRA1A","gene","104221","P35348|B0ZBD3",NA,"Calcium signaling pathway","KEGG",1,0,"ADRA1A"
"kegg_147","ADRA1B","gene","104220","P35368",NA,"Calcium signaling pathway","KEGG",1,0,"ADRA1B"
"kegg_146","ADRA1D","gene","104219","B0ZBE0|P25100",NA,"Calcium signaling pathway","KEGG",1,0,"ADRA1D"
"kegg_153","ADRB1","gene","109630|607276|618591","P08588",NA,"Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"ADRB1"
